3793, 7191528, 3792
9699, 47030451, 9698
6088, 18528828, 6087
4965, 12323130, 4964
9013, 40612578, 9012
2520, 3173940, 2519
9968, 49675528, 9967
6972, 24300906, 6971
1332, 886446, 1331
3487, 6077841, 3486
4579, 10481331, 4578
8786, 38592505, 8785
6237, 19446966, 6236
8753, 38303128, 8752
2262, 2557191, 2261
4873, 11870628, 4872
1023, 522753, 1022
9839, 48398041, 9838
3270, 5344815, 3269
3409, 5808936, 3408
1672, 1396956, 1671
4589, 10527166, 4588
5718, 16344903, 5717
5148, 13248378, 5147
6666, 22214445, 6665
1991, 1981045, 1990
5184, 13434336, 5183
4404, 9695406, 4403
3268, 5338278, 3267
4079, 8317081, 4078
5677, 16111326, 5676
6406, 20515215, 6405
1752, 1533876, 1751
5993, 17955028, 5992
40, 780, 39
5821, 16939110, 5820
8311, 34532205, 8310
879, 385881, 878
4503, 10136253, 4502
4509, 10163286, 4508
7916, 31327570, 7915
9768, 47702028, 9767
9054, 40982931, 9053
2668, 3557778, 2667
4273, 9127128, 4272
7843, 30752403, 7842
2576, 3316600, 2575
6454, 20823831, 6453
5217, 13605936, 5216
7547, 28474831, 7546
9309, 43324086, 9308
6899, 23794651, 6898
8365, 34982430, 8364
5910, 17461095, 5909
1045, 545490, 1044
9474, 44873601, 9473
3646, 6644835, 3645
8132, 33060646, 8131
7734, 29903511, 7733
991, 490545, 990
